"time series design",,"MTBLS10"
"injury design",,"MTBLS10"
"Plant metabolomics",,"MTBLS10"
"correlation study objective",,"MTBLS10"
"targeted metabolites",,"MTBLS10"
"high-performance liquid chromatography-mass spectrometry",,"MTBLS10"
"untargeted metabolomics",,"MTBLS103"
"gas chromatography-mass spectrometry",,"MTBLS105"
"hepatocellular carcinoma",,"MTBLS105"
"cirrhosis of liver",,"MTBLS105"
"Biomarker",,"MTBLS105"
"targeted metabolites",,"MTBLS105"
"untargeted metabolites",,"MTBLS105"
"Metabolomics",,"MTBLS107"
"Metabolomics",,"MTBLS108"
"Metabolomics",,"MTBLS109"
"intervention design",,"MTBLS11"
"stimulus or stress design",,"MTBLS11"
"untargeted metabolites",,"MTBLS11"
"gas chromatography-mass spectrometry",,"MTBLS11"
"bolting stage",,"MTBLS11"
"Metabolomics",,"MTBLS110"
"Metabolomics",,"MTBLS111"
"metabolomic profiling",,"MTBLS112"
"Triticum aestivum",,"MTBLS112"
"metabolite profiling",,"MTBLS113"
"wax ester",,"MTBLS113"
"Euglena gracilis",,"MTBLS113"
"Hypoxia",,"MTBLS113"
"gas chromatography mass spectrometry",,"MTBLS113"
"Plant metabolomics",,"MTBLS117"
"Plant-pathogen interactions",,"MTBLS117"
"tandem mass spectrometry",,"MTBLS117"
"Direct Infusion Mass Spectrometry",,"MTBLS117"
"Plant metabolomics",,"MTBLS118"
"gas chromatography-mass spectrometry",,"MTBLS118"
"Plant-pathogen",,"MTBLS118"
"ultra-performance liquid chromatography-mass spectrometry",,"MTBLS119"
"Transcription Factors",,"MTBLS119"
"hydrophilic interaction chromatography",,"MTBLS119"
"intervention design",,"MTBLS12"
"stimulus or stress design",,"MTBLS12"
"untargeted metabolites",,"MTBLS12"
"gas chromatography-mass spectrometry",,"MTBLS12"
"bolting stage",,"MTBLS12"
"Cohort Study",,"MTBLS124"
"Population Based Study",,"MTBLS124"
"untargeted metabolites",,"MTBLS125"
"Resveratrol",,"MTBLS125"
"oral administration",,"MTBLS125"
"tandem mass spectrometry",,"MTBLS125"
"high-performance liquid chromatography-mass spectrometry",,"MTBLS125"
"skin administration",,"MTBLS125"
"untargeted metabolites",,"MTBLS126"
"Resveratrol",,"MTBLS126"
"skin administration",,"MTBLS126"
"tandem mass spectrometry",,"MTBLS126"
"high-performance liquid chromatography-mass spectrometry",,"MTBLS126"
"untargeted metabolites",,"MTBLS127"
"Resveratrol",,"MTBLS127"
"tandem mass spectrometry",,"MTBLS127"
"high-performance liquid chromatography-mass spectrometry",,"MTBLS127"
"cell line",,"MTBLS127"
"Comparative LC/MS-based profiling",,"MTBLS128"
"Corynebacterium glutamicum ATCC 13032",,"MTBLS128"
"Corynebacterium glutamicum",,"MTBLS128"
"Arginine",,"MTBLS128"
"isotopic labelling",,"MTBLS128"
"isotope ratio mass spectrometry",,"MTBLS128"
"intervention design",,"MTBLS13"
"stimulus or stress design",,"MTBLS13"
"untargeted metabolites",,"MTBLS13"
"gas chromatography-mass spectrometry",,"MTBLS13"
"bolting stage",,"MTBLS13"
"Metabolomic Profiling",,"MTBLS137"
"Training Dataset",,"MTBLS137"
"intervention design",,"MTBLS14"
"stimulus or stress design",,"MTBLS14"
"untargeted metabolites",,"MTBLS14"
"gas chromatography-mass spectrometry",,"MTBLS14"
"response to salt stress",,"MTBLS14"
"Untargeted metabolomics",,"MTBLS140"
"Toxicity profiling of chloroacetaldehyde",,"MTBLS140"
"HPLC-MS",,"MTBLS140"
"Human renal proximal tubular epithelial cell line (RPTEC/TERT1)",,"MTBLS140"
"Lipidomics",,"MTBLS143"
"ultra-performance liquid chromatography-mass spectrometry",,"MTBLS143"
"Tobacco Smoke",,"MTBLS143"
"Cigarette Smoking",,"MTBLS143"
"Modified Risk Tobacco Product",,"MTBLS143"
"Mouse Model",,"MTBLS143"
"Chronic Obstructive Pulmonary Disease",,"MTBLS143"
"Shotgun lipidomics",,"MTBLS143"
"targeted metabolites",,"MTBLS143"
"untargeted metabolites",,"MTBLS143"
"Phytoplankton",,"MTBLS144"
"Carbon Cycle",,"MTBLS144"
"Fourier transform ion cyclotron resonance mass spectrometry",,"MTBLS144"
"liquid chromatography-mass spectrometry",,"MTBLS144"
"untargeted metabolites",,"MTBLS144"
"pregnancy",,"MTBLS146"
"liquid chromatography-mass spectrometry",,"MTBLS146"
"blood plasma",,"MTBLS146"
"shotgun lipidomics",,"MTBLS146"
"carnitine profiling",,"MTBLS146"
"non-targeted metabolite profiling",,"MTBLS146"
"metabolomic profiling",,"MTBLS148"
"urine",,"MTBLS148"
"liquid chromatography-mass spectrometry",,"MTBLS148"
"intervention design",,"MTBLS15"
"stimulus or stress design",,"MTBLS15"
"untargeted metabolites",,"MTBLS15"
"gas chromatography-mass spectrometry",,"MTBLS15"
"response to salt stress",,"MTBLS15"
"metabolomic profiling",,"MTBLS150"
"Ovarian cancer",,"MTBLS150"
"Cancer Stem Cell",,"MTBLS150"
"cancer metabolism",,"MTBLS150"
"two-dimensional gas chromatography–mass spectrometry ",,"MTBLS150"
"metabolomic profiling",,"MTBLS152"
"Ovarian cancer",,"MTBLS152"
"Cancer Stem Cell",,"MTBLS152"
"cancer metabolism",,"MTBLS152"
"two-dimensional gas chromatography–mass spectrometry ",,"MTBLS152"
"Phytoplankton",,"MTBLS154"
"Carbon Cycle",,"MTBLS154"
"Fourier transform ion cyclotron resonance mass spectrometry",,"MTBLS154"
