"Extraction","For the human studies, midstream urine (∼15 ml) samples were collected and frozen from each volunteer. In total, 84 samples were collected from 12 healthy volunteers (7 time points, 8 males and 4 females) and 50 samples from 30 T2DM patients (1–3 time points, 17 males and 13 females) with well-controlled blood glucose maintained at normal concentrations by diet, following the guidelines issued by the American Diabetes Association, rather than medication. The healthy subjects were aged 18–55 yr, had a body mass index (BMI) ≥19 and ≤30 kg/m2 and a body mass ≥50 kg and ≤113 kg, and were free from any major disease or pregnancy. The T2DM patients were aged 30–65 yr (mean 56 ± 9 yr), had a BMI >25 and <40 kg/m2, weighed between 65 and 140 kg (mean 95 ± 19 kg), and were taking at most one oral anti-diabetic drug. T2DM patients agreed to stop treatment with oral anti-diabetic agents during the study. Subjects went through a washout period of 4 wk before sample collection and abstained from alcohol during the study; diet was controlled throughout the study. ","MTBLS1"
"NMR sample","Aliquots of 400 µl urine samples were made up to 600 µl with phosphate buffer (0.2 M, pH 7.4) and any precipitate removed by centrifugation. In total, 500 µl of supernatant were transferred to 5-mm NMR tubes with 100 µl of sodium 3-trimethylsilyl-(2,2,3,3-2H4)-1-propionate (TSP)/D2O/sodium azide solution (0.05% wt/vol TSP in D2O and 1% wt/vol sodium azide).","MTBLS1"
"NMR spectroscopy","The spectra of human urine samples were acquired on a Bruker DRX700 NMR spectrometer using a 5 mm TXI ATMA probe at a proton frequency of 700.1 MHz and ambient temperature of 27 °C.","MTBLS1"
"NMR assay","A 1D NOESY presaturation pulse sequence was used to analyze the urine samples. For each sample 128 transients were collected into 64k data points using a spectral width of 14.005 kHz (20 ppm) and an acquisition time of 2.34 s per FID.","MTBLS1"
"Data transformation","Spectra were processed using ACD/1D NMR Manager 8.0 with Intelligent Bucketing Integration (Advanced Chemistry Development, Toronto, ON, Canada). Spectra were integrated 0.20-9.30 ppm excluding water (4.24-5.04 ppm), glucose (3.19-3.99 ppm, 5.21-5.27 ppm), and urea (5.04-6.00 ppm). Intelligent bucketing ensures that bucket edges do not coincide with peak maxima, preventing resonances from being split across separate integral regions; a 0.04 ppm bucket width and a 50% looseness factor were used. All spectra were normalized to total area excluding the water, urea, and glucose regions.","MTBLS1"
"Metabolite identification","Assignments were confirmed by two dimensional spectroscopy including homonuclear 1H-1H Correlation Spectroscopy (COSY), 1H-13C Heteronuclear Signal Quantum Coherence (HSQC) and 1H-13C Heteronuclear Multiple Bond Correlation (HMBC) Spectroscopy.","MTBLS1"
"Sample collection","For the human studies, midstream urine (~15 ml) samples were collected and frozen from each volunteer. In total, 84 samples were collected from 12 healthy volunteers (7 time points, 8 males and 4 females) and 50 samples from 30 T2DM patients (1-3 time points, 17 males and 13 females) with well-controlled blood glucose maintained at normal concentrations by diet, following the guidelines issued by the American Diabetes Association, rather than medication. T2DM patients agreed to stop treatment with oral anti-diabetic agents during the study. Subjects went through a washout period of 4 wk before sample collection and abstained from alcohol during the study; diet was controlled throughout the study.","MTBLS1"
"Sample collection","An isogenic line of Nicotiana attenuata obtained after 30 generations of inbreeding from field-collected seeds was used. Seeds were germinated as described in [1]. All plants were grown in the glasshouse in 1 L individual pots at 26 - 28 °C under 16 h of light supplied by Philips Sun-T Agro 400- or 600-W sodium lights (Philips,Turnhout, Belgium). Metabolic changes induced during Manduca sexta feeding were reproduced by producing with a fabric pattern wheel three rows of puncture onto each side of the midvein of five fully expanded leaves per plant (5 biological replicates) and directly applying 1:1 diluted M. sexta oral secretions (OS). Treated leaves from the same plant were harvested and flash frozen 0, 1, 2, 4, 14 and 24 h after elicitation.</p>Ref:</br>[1] Gaquerel E, Heiling S, Schoettner M, Zurek G, Baldwin IT. Development and validation of a liquid chromatography-electrospray ionization-time-of-flight mass spectrometry method for induced changes in Nicotiana attenuata leaves during simulated herbivory. J Agric Food Chem. 2010 Sep 8;58(17):9418-27. doi: 10.1021/jf1017737. PMID:20701244","MTBLS10"
"Extraction","100 mg of ground leaf tissue was weighed and transferred to a Fast Prep tube containing 0.9 g of Fast Prep matrix (BIO 101, Vista, USA). 1 ml extraction buffer per 100 mg tissue [50 mM acetate buffer, pH 4.8, containing 40 % methanol spiked with reserpine (600 ng/ml), atropine (200 ng/ml)] was added and samples were homogenized. After centrifugation (13200 rpm, 20 min, 4 ºC) the supernatant was collected in a fresh 1.5 ml Eppendorf tube, centrifuged again and 100 µl of the supernatant was transferred to a HPLC vial.","MTBLS10"
"Chromatography","Two microliters of the leaf extract were separated using a HPLC 1100 Series system (Agilent, Palo Alto, USA). The column used was a 150 mm x 2 mm i.d., 3 µm, Phenomenex Gemini NX RP-18 column with a 2 mm x 4 mm i.d. guard column of the same material. The following binary gradient was applied: 0 to 2 min isocratic 95 % A (deionized water, 0.1 % [v/v] acetonitrile [Baker, HPLC grade] and 0.05 % formic acid), 5 % B (acetonitrile, 0.05 % formic acid); 2 to 30 min linear gradient to 80 % B; isocratic for 5 min. Flow rate was 200 µl/min.","MTBLS10"
"Mass spectrometry","Eluted compounds were detected by a micrOTOF mass spectrometer (Bruker Daltonics, Bremen, Germany) equipped with an electrospray ionization source in positive and negative ion mode. Typical instrument settings were as follows: capillary voltage 4500 V, capillary exit 130 V, dry gas temperature 200 °C, dry gas flow of 8 l/min. Ions were detected from m/z 200 to 1400 at a scan rate of 1 Hz. Mass calibration was performed using sodium formate clusters (10 mM solution of NaOH in 50/50 % v/v isopropanol/water containing 0.2 % formic acid).","MTBLS10"
"Data transformation","Raw data were exported as netCDF files and processed with the m/z feature detection and retention time alignment BioConductor package xcms (v1.30, http://www.bioconductor.org/packages/2.9/bioc/html/xcms.html), using following parameters for feature detection: method = centWave, ppm = 20, snthresh = 10, peakwidth = (20,50). For alignment, we repeated the xcms group method twice and performed a retention time correction in between with the following parameters: minfrac = 0.5, bw1 = 60, bw2 = 25, mzwid1 = 0.05, mzwid2 = 0.02, span = 1, extra = 0, missing = 0. Areas of missing features were estimated using the fillPeaks method. Annotation of compound spectra and corresponding ion species was performed with the BioConductor package CAMERA (v1.9.8, http://www.bioconductor.org/packages/2.9/bioc/html/CAMERA.html). Compound spectra were built with CAMERA according to the retention time similarity, the presence of detected isotopic patterns and to the strength of the correlation values among extracted ion currents (EICs) of co-eluting m/z features. CAMERA grouping and correlation methods were used with default parameters except the threshold for EIC correlation (cor_eic_th) which was increased to 0.85. Clustered features were annotated based on the match (+/- 5 ppm) of calculated m/z differences versus an ion species and neutral loss transitions rule set. Mass differences corresponding to NH3CH2, NH3CH3H2 and NH3C2H4 neutral losses were added to the default rule set of CAMERA. If one or more mass differences can be assigned to a compound spectrum, CAMERA will also deduce the neutral exact mass [M] of the underlying compound.","MTBLS10"
"Metabolite identification","A MetFrag query file was created for every CAMERA-deduced molecular mass hypothesis [M] if the associated compound spectrum contained at least one fragment peak, i.e. a m/z feature with a lower m/z value than [M]. Annotated isotopic peaks and multiply-charged ions such as [M+2H]2+ were excluded. These MS1.5 compound spectra usually contain a subset of the information that can be expected in a full tandem mass spectrum, but may also include false positives, i.e. unrelated features. Compounds within the injection peak were not considered.","MTBLS10"
"Sample collection","Human saliva samples were collected from 16 healthy adult volunteers. Collection was done in the early morning before tooth brushing by a standard method (Sugimoto et al. 2010) consisted of spitting into a 50 mL sterile falcon tube. To assess the effect of sampling time on concentrations of salivary metabolites, samples were also collected three times (before breakfast, 2 hrs after breakfast and 2 hrs. after lunch) in a day.  Following collections, the samples were centrifuged at 10000 rpm for 10 min to remove particulate matter and the aliquots were stored in eppendorf tubes at -20 °C until analysis.","MTBLS100"
"Extraction","","MTBLS100"
"NMR sample","","MTBLS100"
"NMR spectroscopy","All 1H-NMR spectra were collected on a 500 MHz Inova (Varian Inc., Palo Alto, CA) spectrometer using the first transient of the tnnoesy-presaturation pulse sequence.","MTBLS100"
"NMR assay","","MTBLS100"
"Data transformation","The resulting 1H-NMR spectra were processed and analyzed using the Chenomx NMR Suite Professional software package version 7.7 (Chenomx Inc., Edmonton, AB) as previously described (Bouatra et al. 2013; Psychogios et al. 2011). Each spectrum was processed and analyzed by two experienced NMR spectroscopists to minimize compound mis-identification and mis-quantification. ","MTBLS100"
"Metabolite identification","","MTBLS100"
